Filename,Number,Result,Threshold,Result_Data
20250916_21MeOHIPA_BrainLipidEx_LC-PC_R-3_Op-TGL_Proj-solventmatrix_PC_withSPLASH,19,pass,25.0,1.67
20250916_12CHCl3MeOH_BrainLipidEx_LC-PC_R-3_Op-TGL_Proj-solventmatrix_PC_withSPLASH,20,pass,25.0,16.66
20250916_12CHCl3MeOH_BrainLipidEx_LC-TG_R-2_Op-TGL_Proj-solventmatrix_TG_18-0_Splash,21,fail,25.0,39.75
20250916_21MeOHIPA_BrainLipidEx_LC-PC_R-2_Op-TGL_Proj-solventmatrix_PC_withSPLASH,22,pass,25.0,2.99
20250916_21MeOHACN_BrainLipidEx_LC-PE_R-3_Op-TGL_Proj-solventmatrix_PE_withSPLASH,23,pass,25.0,4.18
20250916_21MeOHACN_BrainLipidEx_LC-PC_R-3_Op-TGL_Proj-solventmatrix_PC_withSPLASH,24,pass,25.0,8.72
20250916_12CHCl3MeOH_BrainLipidEx_LC-PE_R-3_Op-TGL_Proj-solventmatrix_PE_withSPLASH,25,pass,25.0,23.88
20250916_21MeOHACN_BrainLipidEx_LC-TG_R-2_Op-TGL_Proj-solventmatrix_TG_18-0_Splash,26,pass,25.0,9.46
20250916_12CHCl3MeOH_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash,27,pass,25.0,12.59
20250916_21MeOHIPA_BrainLipidEx_LC-PS_R-2_Op-TGL_Proj-solventmatrix_PS_Splash,28,pass,25.0,3.02
20250916_21MeOHACN_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash,29,pass,25.0,8.76
20250916_12CHCl3MeOH_BrainLipidEx_LC-TG_R-1_Op-TGL_Proj-solventmatrix_TG_18-0_Splash,30,fail,25.0,N/A
20250916_532MeOHIPAACN_BrainLipidEx_LC-PS_R-1_Op-TGL_Proj-solventmatrix_PS_Splash,31,pass,25.0,6.91
20250916_21MeOHACN_BrainLipidEx_LC-PS_R-2_Op-TGL_Proj-solventmatrix_PS_Splash,32,pass,25.0,4.03
20250916_21MeOHIPA_BrainLipidEx_LC-PS_R-1_Op-TGL_Proj-solventmatrix_PS_Splash,33,pass,25.0,8.20
20250916_12CHCl3MeOH_BrainLipidEx_LC-PE_R-2_Op-TGL_Proj-solventmatrix_PE_withSPLASH,34,fail,25.0,N/A
20250916_532MeOHIPAACN_BrainLipidEx_LC-PE_R-2_Op-TGL_Proj-solventmatrix_PE_withSPLASH,35,pass,25.0,16.39
20250916_12CHCl3MeOH_BrainLipidEx_LC-TG_R-3_Op-TGL_Proj-solventmatrix_TG_18-0_Splash,36,fail,25.0,36.11
20250916_21MeOHIPA_BrainLipidEx_LC-PC_R-1_Op-TGL_Proj-solventmatrix_PC_withSPLASH,37,pass,25.0,4.17
20250916_21MeOHIPA_BrainLipidEx_LC-TG_R-1_Op-TGL_Proj-solventmatrix_TG_18-0_Splash,38,pass,25.0,15.38
20250916_532MeOHIPAACN_BrainLipidEx_LC-PS_R-3_Op-TGL_Proj-solventmatrix_PS_Splash,39,pass,25.0,9.51
20250916_21MeOHACN_BrainLipidEx_LC-Cer_R-3_Op-TGL_Proj-solventmatrix_Cer_Splash,40,pass,25.0,7.69
20250916_21MeOHIPA_BrainLipidEx_LC-PE_R-1_Op-TGL_Proj-solventmatrix_PE_withSPLASH,41,pass,25.0,3.11
20250916_21MeOHACN_BrainLipidEx_LC-Cer_R-2_Op-TGL_Proj-solventmatrix_Cer_Splash,42,pass,25.0,7.03
20250916_21MeOHIPA_BrainLipidEx_LC-PE_R-3_Op-TGL_Proj-solventmatrix_PE_withSPLASH,43,pass,25.0,7.98
20250916_532MeOHIPAACN_BrainLipidEx_LC-TG_R-3_Op-TGL_Proj-solventmatrix_TG_18-0_Splash,44,pass,25.0,16.70
20250916_532MeOHIPAACN_BrainLipidEx_LC-PC_R-2_Op-TGL_Proj-solventmatrix_PC_withSPLASH,45,pass,25.0,6.29
20250916_21MeOHIPA_BrainLipidEx_LC-Cer_R-1_Op-TGL_Proj-solventmatrix_Cer_Splash,46,pass,25.0,15.89
20250916_21MeOHACN_BrainLipidEx_LC-PC_R-2_Op-TGL_Proj-solventmatrix_PC_withSPLASH,47,pass,25.0,0.72
20250916_21MeOHIPA_BrainLipidEx_LC-TG_R-2_Op-TGL_Proj-solventmatrix_TG_18-0_Splash,48,fail,25.0,N/A
20250916_12CHCl3MeOH_BrainLipidEx_LC-PE_R-1_Op-TGL_Proj-solventmatrix_PE_withSPLASH,49,fail,25.0,N/A
20250916_532MeOHIPAACN_BrainLipidEx_LC-Cer_R-2_Op-TGL_Proj-solventmatrix_Cer_Splash,50,pass,25.0,8.16
20250916_21MeOHIPA_BrainLipidEx_LC-PE_R-2_Op-TGL_Proj-solventmatrix_PE_withSPLASH,51,pass,25.0,12.83
20250916_532MeOHIPAACN_BrainLipidEx_LC-TG_R-1_Op-TGL_Proj-solventmatrix_TG_18-0_Splash,52,pass,25.0,15.60
20250916_12CHCl3MeOH_BrainLipidEx_LC-PS_R-2_Op-TGL_Proj-solventmatrix_PS_Splash,53,fail,25.0,N/A
20250916_21MeOHACN_BrainLipidEx_LC-PE_R-2_Op-TGL_Proj-solventmatrix_PE_withSPLASH,54,pass,25.0,2.90
20250916_21MeOHACN_BrainLipidEx_LC-TG_R-1_Op-TGL_Proj-solventmatrix_TG_18-0_Splash,55,pass,25.0,8.88
20250916_21MeOHACN_BrainLipidEx_LC-PS_R-3_Op-TGL_Proj-solventmatrix_PS_Splash,56,pass,25.0,3.53
20250916_12CHCl3MeOH_BrainLipidEx_LC-PS_R-1_Op-TGL_Proj-solventmatrix_PS_Splash,57,fail,25.0,N/A
20250916_21MeOHIPA_BrainLipidEx_LC-PS_R-3_Op-TGL_Proj-solventmatrix_PS_Splash,58,pass,25.0,6.17
20250916_21MeOHACN_BrainLipidEx_LC-PS_R-1_Op-TGL_Proj-solventmatrix_PS_Splash,59,pass,25.0,7.89
20250916_12CHCl3MeOH_BrainLipidEx_LC-Cer_R-3_Op-TGL_Proj-solventmatrix_Cer_Splash,60,pass,25.0,11.69
20250916_124CHCl3MeOHIPA_BrainLipidEx_LC-PC_R-1_Op-TGL_Proj-solventmatrix_PC_withSPLASH,61,pass,25.0,1.70
